cg_ipo_id,pct_qib,pct_retail,pct_nii,pct_anchor,details_fetched,sector,kpi_roe,kpi_ebitda_margin,kpi_pb,kpi_post_ipo_pe,kpi_roce,kpi_debt_equity,kpi_pat_margin
2949,50.0,35.0,15.0,30.0,2026-07-12,,43.02,92.46,19.6,38.12,,,
2675,1.0,70.0,29.0,0.6,2026-07-12,,33.85,13.84,3.78,18.49,17.56,2.35,6.34
2654,50.0,35.0,15.0,30.0,2026-07-12,,23.32,12.96,3.39,19.82,17.83,1.1,6.46
2670,50.0,35.0,15.0,30.0,2026-07-12,,25.82,27.15,8.45,44.8,24.76,0.44,13.8
2592,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,35.75,20.42,5.52,18.33,46.71,0.62,10.99
2678,20.0,40.0,40.0,12.0,2026-07-12,Consumer Discretionary,12.8,11.25,3.11,25.65,12.13,0.66,5.6
2641,50.0,35.0,15.0,30.0,2026-07-12,Technology,23.75,18.16,4.92,29.75,24.4,0.86,8.8
2686,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,35.89,29.63,7.6,18.64,24.09,1.29,20.55
2474,75.0,10.0,15.0,45.0,2026-07-12,Industrials,0.92,0.2,65.64,112.18,1.14,1.27,0.09
2601,75.0,10.0,15.0,45.0,2026-07-12,Financials,-95.18,11.01,2.77,-19.66,-59.09,0.15,
2658,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,13.02,14.03,2.48,15.35,14.82,0.18,9.81
2586,50.0,35.0,15.0,30.0,2026-07-12,Materials,0.1,5.17,9.17,19.42,9.3,0.76,2.59
2576,50.0,35.0,15.0,30.0,2026-07-12,Financials,23.51,,0.91,10.84,,1.63,
2676,50.0,35.0,15.0,30.0,2026-07-12,Industrials,24.28,12.38,5.93,19.23,26.53,0.32,8.45
2501,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,11.87,10.36,4.58,22.56,9.16,1.68,4.76
2570,,,,,2026-07-12,Industrials,11.6,15.23,3.54,18.58,13.9,0.4,9.12
2681,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,5.13,18.68,10.89,72.19,9.28,,8.93
2456,50.0,35.0,15.0,30.0,2026-07-12,Materials,,38.5,6.01,21.65,27.1,,27.6
2031,50.0,35.0,15.0,30.0,2026-07-12,Materials,15.62,16.45,2.77,9.18,15.45,0.55,9.56
2039,1.0,65.0,34.0,0.6,2026-07-12,Industrials,19.55,6.34,11.98,30.89,18.19,1.1,4.17
2067,50.0,35.0,15.0,30.0,2026-07-12,Materials,14.86,9.16,5.53,20.88,16.55,0.49,4.87
2794,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,20.03,20.9,14.38,62.63,32.52,0.17,9.28
2479,50.0,35.0,15.0,30.0,2026-07-12,Industrials,12.07,30.72,11.45,50.53,9.19,1.65,11.74
2475,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,18.3,19.65,8.42,10.96,25.2,1.1,12.85
2573,50.0,35.0,15.0,30.0,2026-07-12,Energy,0.43,,4.11,324.28,,2.53,
2502,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,12.9,4.13,29.69,10.74,0.75,5.3
2019,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,21.25,38.29,10.48,22.99,21.03,0.38,25.14
2569,75.0,10.0,15.0,45.0,2026-07-12,Technology,,11.9,8.65,109.12,,,4.5
2026,75.0,10.0,15.0,45.0,2026-07-12,Financials,7.63,,1.45,24.64,,3.02,
2526,75.0,10.0,15.0,45.0,2026-07-12,Industrials,,2.86,8.97,170.39,,0.21,
2549,75.0,10.0,15.0,45.0,2026-07-12,Technology,,8.26,8.61,603.54,,,0.88
2462,50.0,35.0,15.0,30.0,2026-07-12,Materials,,7.29,1.84,43.23,30.13,,1.96
2289,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,36.61,41.12,22.62,41.59,37.65,0.15,23.61
2454,50.0,35.0,15.0,30.0,2026-07-12,Industrials,22.77,6.35,7.31,28.68,16.6,1.17,3.51
2525,50.0,35.0,15.0,30.0,2026-07-12,Financials,82.8,,30.41,33.07,,,
2297,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,20.68,26.71,6.09,25.14,17.47,0.61,15.3
2548,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,13.45,22.05,7.72,162.19,18.67,,8.88
2433,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,27.5,20.55,10.71,35.15,41.32,0.1,12.49
2488,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,-6.58,7.13,11.5,89.58,-0.68,0.53,-2.75
2005,50.0,35.0,15.0,30.0,2026-07-12,Industrials,24.57,4.32,5.0,22.94,19.72,0.88,2.74
2465,75.0,10.0,15.0,45.0,2026-07-12,Industrials,-14.3,11.68,9.94,-74.71,0.87,0.99,-11.07
2516,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,,30.16,-11.63,,,
2484,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,,39.7,12.93,53.55,,0.2,27.63
2148,50.0,35.0,15.0,30.0,2026-07-12,Technology,10.38,31.4,3.23,57.46,16.11,0.05,14.87
2476,75.0,10.0,15.0,45.0,2026-07-12,Technology,,13.13,8.87,2214.95,2.76,0.18,2.37
2025,50.0,35.0,15.0,30.0,2026-07-12,Technology,39.4,16.13,16.09,25.84,41.01,0.87,10.15
2509,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,42.65,16.67,12.77,23.83,56.78,,11.31
2266,75.0,10.0,15.0,45.0,2026-07-12,,,6.69,14.1,-116.86,,,-8.43
2518,75.0,10.0,15.0,45.0,2026-07-12,Technology,104.6,30.91,24.25,20.01,23.33,3.63,15.8
2487,75.0,10.0,15.0,45.0,2026-07-12,Technology,,15.68,-9.85,1325.57,,,
2453,75.0,10.0,15.0,45.0,2026-07-12,Financials,,59.11,11.76,40.79,,,44.92
2551,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,-106.0,17.77,11.03,284.96,3.58,,
2259,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,16.64,17.96,5.12,28.43,20.25,-0.07,11.93
2470,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,16.6,5.4,31.68,32.7,,10.7
2150,50.0,35.0,15.0,30.0,2026-07-12,Materials,19.42,27.43,6.5,39.49,18.84,0.43,17.17
2429,50.0,35.0,15.0,30.0,2026-07-12,Financials,7.71,,6.64,107.53,,,
2254,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,29.02,20.67,13.65,46.13,26.45,0.73,10.37
2428,50.0,35.0,15.0,30.0,2026-07-12,Financials,,65.37,8.84,21.75,,,47.24
2064,50.0,35.0,15.0,30.0,2026-07-12,Technology,,12.76,13.04,37.69,42.91,,8.95
2317,50.0,35.0,15.0,30.0,2026-07-12,Financials,12.6,,4.1,33.24,,6.6,
2014,75.0,10.0,15.0,45.0,2026-07-12,Real Estate,,63.41,41.62,67.75,,,
2290,50.0,35.0,15.0,30.0,2026-07-12,Materials,25.42,9.61,5.98,25.07,27.02,0.8,5.1
2407,50.0,35.0,15.0,30.0,2026-07-12,Industrials,13.53,7.69,2.48,20.67,15.8,0.17,4.49
1998,30.0,40.0,30.0,18.0,2026-07-12,Industrials,56.98,8.34,10.47,21.23,72.58,0.22,5.97
2624,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,30.46,14.07,3.57,18.28,24.46,0.32,13.83
2306,50.0,35.0,15.0,30.0,2026-07-12,Technology,23.09,20.71,3.07,16.94,37.89,0.13,11.44
2231,50.0,35.0,15.0,30.0,2026-07-12,Energy,28.27,16.2,4.56,29.01,10.88,2.02,7.69
2432,50.0,35.0,15.0,30.0,2026-07-12,Industrials,28.3,7.52,4.18,24.26,18.39,0.58,5.03
2023,50.0,35.0,15.0,30.0,2026-07-12,Industrials,22.69,10.39,9.36,34.54,22.88,0.15,5.2
2212,1.0,75.0,24.0,0.6,2026-07-12,Materials,15.62,4.24,2.98,26.15,12.8,2.04,1.59
2345,75.0,10.0,15.0,45.0,2026-07-12,Materials,40.77,5.17,20.44,35.86,24.22,0.92,3.13
2028,50.0,35.0,15.0,30.0,2026-07-12,Financials,23.12,36.81,4.68,25.06,21.32,1.8,12.23
2048,50.0,35.0,15.0,30.0,2026-07-12,Technology,34.84,25.13,13.41,30.79,31.87,0.37,15.09
2075,50.0,35.0,15.0,30.0,2026-07-12,,35.76,33.13,10.5,38.17,37.38,0.3,20.34
2174,75.0,10.0,15.0,45.0,2026-07-12,Technology,40.27,19.6,,39.48,54.53,0.37,14.14
2045,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,15.81,8.61,5.23,36.72,19.81,0.22,4.17
2011,50.0,35.0,15.0,30.0,2026-07-12,Industrials,33.91,16.07,23.62,46.33,39.43,0.4,9.54
2042,50.0,35.0,15.0,30.0,2026-07-12,Energy,63.71,18.24,12.39,23.3,55.65,0.74,12.12
2082,50.0,35.0,15.0,30.0,2026-07-12,,63.41,16.4,43.18,27.63,60.45,1.36,9.76
2227,50.0,35.0,15.0,30.0,2026-07-12,Technology,21.13,,4.96,18.77,28.98,,8.87
2161,30.0,50.0,20.0,18.0,2026-07-12,Materials,,5.91,7.43,14.32,12.79,3.77,1.91
2015,50.0,35.0,15.0,30.0,2026-07-12,Materials,39.18,38.74,10.77,33.02,44.58,0.01,26.08
2003,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,6.48,5.93,26.04,32.43,0.61,4.27
2117,75.0,10.0,15.0,45.0,2026-07-12,Real Estate,,50.64,7.94,315.45,25.95,2.39,1.0
2425,75.0,10.0,15.0,45.0,2026-07-12,Technology,,,8.27,61.68,,,
2001,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,12.42,22.11,3.77,46.59,13.72,2.02,3.86
2053,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,40.45,26.88,4.51,23.57,21.93,0.73,17.06
2126,50.0,35.0,15.0,30.0,2026-07-12,Industrials,16.63,17.5,3.81,32.15,23.34,0.58,8.44
2069,50.0,35.0,15.0,30.0,2026-07-12,Industrials,29.0,14.9,7.09,32.77,25.38,0.92,8.61
2152,50.0,35.0,15.0,30.0,2026-07-12,Technology,16.57,14.37,8.46,85.88,24.49,0.19,4.08
2318,30.0,45.0,25.0,18.0,2026-07-12,Consumer Discretionary,19.02,7.61,4.72,33.69,14.43,1.34,3.08
2018,50.0,35.0,15.0,30.0,2026-07-12,Industrials,42.91,33.03,10.76,29.07,28.09,0.75,23.24
2032,50.0,35.0,15.0,30.0,2026-07-12,Materials,18.8,17.55,5.36,31.8,16.02,0.78,10.56
2035,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,20.25,12.32,6.18,21.98,14.17,2.08,5.19
2059,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,-34.53,4.13,2.01,,-3.67,0.8,-12.53
2125,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,19.01,18.16,7.15,38.09,16.99,0.88,8.46
2230,50.0,35.0,15.0,30.0,2026-07-12,Materials,-6.9,13.78,6.16,-112.61,7.05,0.98,-2.77
2180,30.0,40.0,30.0,18.0,2026-07-12,Industrials,19.03,6.32,3.44,22.41,16.56,0.61,4.44
2027,50.0,35.0,15.0,30.0,2026-07-12,Industrials,24.39,52.57,7.01,32.17,27.22,0.13,41.46
2049,75.0,10.0,15.0,45.0,2026-07-12,Industrials,25.13,12.78,6.28,28.55,24.8,0.33,7.73
2448,50.0,35.0,15.0,30.0,2026-07-12,,17.11,23.95,7.98,46.63,22.7,,22.35
2030,50.0,35.0,15.0,30.0,2026-07-12,Financials,,66.07,2.57,22.94,,4.42,14.48
2036,75.0,10.0,15.0,45.0,2026-07-12,Industrials,34.53,8.27,7.06,22.52,33.27,0.41,11.25
2008,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,8.83,7.05,25.69,25.7,1.6,5.05
2094,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,35.45,32.26,144.48,13.62,7.4,5.03
2046,50.0,35.0,15.0,30.0,2026-07-12,Technology,30.4,8.94,10.17,39.14,17.31,1.95,4.89
2038,75.0,10.0,15.0,45.0,2026-07-12,Real Estate,-2.19,58.2,,,34.21,-110.58,-12.66
2029,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,20.82,36.81,13.23,70.62,26.88,0.05,23.38
2034,50.0,35.0,15.0,30.0,2026-07-12,Real Estate,,62.39,38.58,,42.3,2.9,-4.6
2054,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,35.47,40.07,13.82,38.15,51.4,,21.54
2096,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,30.24,25.05,8.48,28.03,40.03,,17.28
2074,50.0,35.0,15.0,30.0,2026-07-12,Materials,12.2,10.09,1.13,24.27,11.93,0.67,5.11
2073,50.0,35.0,15.0,30.0,2026-07-12,Materials,25.42,12.43,4.51,44.54,17.66,0.8,6.41
2110,50.0,35.0,15.0,30.0,2026-07-12,Financials,14.72,,3.72,28.15,,5.85,
2149,50.0,35.0,15.0,30.0,2026-07-12,Industrials,21.95,13.44,3.92,17.88,23.07,1.6,4.59
2189,50.0,35.0,15.0,30.0,2026-07-12,Materials,16.88,35.12,20.93,67.69,13.71,0.32,23.9
2229,75.0,10.0,15.0,45.0,2026-07-12,Real Estate,,-4.04,5.62,1160.05,,,
1971,75.0,10.0,15.0,45.0,2026-07-12,,,,8.61,-41.89,,1.45,
2202,50.0,35.0,15.0,30.0,2026-07-12,Industrials,,19.79,38.14,24.22,81.85,0.42,12.83
2172,50.0,35.0,15.0,30.0,2026-07-12,Materials,28.77,14.7,8.76,25.25,15.92,,4.58
2016,50.0,35.0,15.0,30.0,2026-07-12,Industrials,31.41,14.2,5.34,20.97,32.41,0.51,8.85
2080,75.0,10.0,15.0,45.0,2026-07-12,Energy,8.68,,17.71,227.36,8.39,2.59,15.18
2182,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,49.78,2.92,213.09,,,
2083,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,,2.5,24.47,14.83,0.97,4.36
2099,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,49.45,,9.09,14.73,27.42,,11.85
2357,75.0,10.0,15.0,45.0,2026-07-12,,,,,,,,
1988,75.0,10.0,15.0,45.0,2026-07-12,Industrials,29.15,,16.11,32.86,19.2,0.2,16.74
1985,50.0,35.0,15.0,30.0,2026-07-12,Technology,,,10.15,,,,9.6
1983,50.0,35.0,15.0,30.0,2026-07-12,Industrials,24.53,,7.84,35.62,32.82,0.01,12.65
1975,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,9.33,,7.96,160.48,14.61,,6.9
1970,50.0,35.0,15.0,30.0,2026-07-12,Industrials,36.36,,5.01,16.22,76.99,0.01,25.03
1967,50.0,35.0,15.0,30.0,2026-07-12,Materials,12.54,,4.69,21.55,13.96,0.55,6.26
1961,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,78.78,,49.59,51.73,19.97,0.94,13.03
1954,75.0,10.0,15.0,45.0,2026-07-12,Industrials,33.41,,19.73,59.13,26.12,1.86,9.68
1951,50.0,35.0,15.0,30.0,2026-07-12,,20.74,,5.7,38.5,25.49,0.32,10.92
1934,50.0,35.0,15.0,30.0,2026-07-12,Industrials,5.13,,2.55,105.25,8.96,0.85,4.16
1942,50.0,35.0,15.0,30.0,2026-07-12,Industrials,53.53,,31.77,51.61,54.36,0.32,27.85
1939,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,,3.66,-201.01,,,35.0
1943,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,23.6,,5.84,28.21,11.73,1.07,15.25
1945,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,17.69,,,40.24,19.35,0.58,3.5
1936,50.0,35.0,15.0,30.0,2026-07-12,Financials,54.72,,12.76,28.37,,,38.75
1937,50.0,35.0,15.0,30.0,2026-07-12,Industrials,27.76,,4.5,633.97,31.29,0.09,15.27
1940,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,11.09,,1.81,13.53,11.8,0.17,4.53
1941,50.0,35.0,15.0,30.0,2026-07-12,Energy,13.73,,3.96,1171.52,14.07,0.47,8.34
1933,50.0,35.0,15.0,30.0,2026-07-12,Industrials,24.41,,4.7,28.02,24.33,0.56,5.65
1930,75.0,10.0,15.0,45.0,2026-07-12,,76.58,,,82.9,80.96,,54.68
1926,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,32.0,,19.07,54.66,31.56,-0.06,20.38
1928,75.0,10.0,15.0,45.0,2026-07-12,Technology,,,9.81,113.32,,0.73,
1925,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,11.79,,10.18,203.82,15.96,,5.65
1924,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,,6.23,69.19,68.76,,5.18
1918,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,14.09,,13.1,74.89,21.46,0.2,10.57
1911,50.0,35.0,15.0,30.0,2026-07-12,Industrials,51.68,,6.89,21.1,32.34,0.8,15.17
1902,75.0,10.0,15.0,45.0,2026-07-12,Energy,7.39,,9.89,259.56,,1.91,16.2
1904,75.0,10.0,15.0,45.0,2026-07-12,Technology,9.39,,14.6,37.2,1.5,0.47,
1899,75.0,10.0,15.0,45.0,2026-07-12,Financials,,,6.14,153.7,,0.12,
1897,75.0,10.0,15.0,45.0,2026-07-12,Energy,2.93,,7.77,3147.37,,3.89,47.59
1896,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,,11.6,-35.23,,,
1898,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,,,2.0,61.52,,0.15,11.83
1881,50.0,35.0,15.0,30.0,2026-07-12,Industrials,10.55,,4.31,46.48,14.89,0.91,2.85
1895,50.0,35.0,15.0,30.0,2026-07-12,Materials,-11.16,,6.31,120.04,-2.35,3.01,-4.97
1888,50.0,35.0,15.0,30.0,2026-07-12,Technology,8.79,,8.84,26.76,9.45,0.06,11.47
1890,50.0,35.0,15.0,30.0,2026-07-12,Industrials,8.48,,4.68,16.63,8.97,0.91,13.52
1879,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,,14.93,26.73,13.69,,8.5
1883,50.0,35.0,15.0,30.0,2026-07-12,Industrials,36.14,,5.97,21.03,46.69,,23.63
1874,50.0,35.0,15.0,30.0,2026-07-12,Industrials,18.52,,2.47,20.41,20.63,0.18,10.79
1864,50.0,35.0,15.0,30.0,2026-07-12,Technology,40.86,,,33.52,31.21,0.45,12.67
1866,50.0,35.0,15.0,30.0,2026-07-12,Financials,21.36,,2.25,19.19,19.39,3.75,
